"field";"name";"comment"
0  ; var0 ; undefined
1  ; PS ; pressure [Pa]
2  ; PMSL ; pressure reduced to MSL [Pa]
3  ; var3 ; undefined
4  ; PV ; potential vorticity [10^6 m/kg/s]
5  ; var5 ; undefined
6  ; FI ; geopotential [(m**2)/(s**2)]
7  ; var7 ; undefined
8  ; var8 ; undefined
9  ; var9 ; undefined
10  ; var10 ; undefined
11  ; T ; temperature [K]
12  ; var12 ; undefined
13  ; var13 ; undefined
14  ; pseudo-pot ; pseudo-adiabatic potential temperature [K]
15  ; TMAX ; maximum temperature [K]
16  ; TMIN ; minimum temperature [K]
17  ; TD ; dew-point temperature [K]
18  ; var18 ; undefined
19  ; var19 ; undefined
20  ; var20 ; undefined
21  ; var21 ; undefined
22  ; var22 ; undefined
23  ; var23 ; undefined
24  ; var24 ; undefined
25  ; var25 ; undefined
26  ; var26 ; undefined
27  ; var27 ; undefined
28  ; var28 ; undefined
29  ; var29 ; undefined
30  ; var30 ; undefined
31  ; DD ; wind direction [degree true]
32  ; FF ; wind speed [m/s]
33  ; U ; u-component (zonal) of wind [m/s]
34  ; V ; v-component (merdional) of wind [m/s]
35  ; var35 ; undefined
36  ; var36 ; undefined
37  ; var37 ; undefined
38  ; var38 ; undefined
39  ; OMEGA ; Pressure vertical velocity [Pa/s]
40  ; var40 ; undefined
41  ; var41 ; undefined
42  ; var42 ; undefined
43  ; var43 ; undefined
44  ; var44 ; undefined
45  ; var45 ; undefined
46  ; var46 ; undefined
47  ; var47 ; undefined
48  ; var48 ; undefined
49  ; var49 ; undefined
50  ; var50 ; undefined
51  ; QV ; specific humidity [kg/kg]
52  ; RELHUM ; relative humidity [0-1]
53  ; var53 ; undefined
54  ; var54 ; undefined
55  ; var55 ; undefined
56  ; var56 ; undefined
57  ; AEVAP_S ; evaporation [kg/(m**2)]
58  ; var58 ; undefined
59  ; var59 ; undefined
60  ; var60 ; undefined
61  ; TOT_PREC ; total precipitation [kg/(m**2)]
62  ; var62 ; undefined
63  ; var63 ; undefined
64  ; snowfall ; snowfall [kg/(m**2)]
65  ; accsnow ; Accumulated snow [kg/m^2]
66  ; Rain ; Rainfall [kg/m^2]
67  ; PBL ; Height of the PBL [m]
68  ; var63 ; undefined
69  ; var63 ; undefined
70  ; var63 ; undefined
71  ; CLCT ; total cloud cover [%]
72  ; var72 ; undefined
73  ; var73 ; undefined
74  ; var74 ; undefined
75  ; var75 ; undefined
76  ; var76 ; undefined
77  ; var77 ; undefined
78  ; var78 ; undefined
79  ; var79 ; undefined
80  ; var80 ; undefined
81  ; LAND ; land cover (1=land, 0=sea) [1]
82  ; var82 ; undefined
83  ; var83 ; undefined
84  ; var84 ; undefined
85  ; var85 ; undefined
86  ; W_soil ; soil moisture content [kg/(m**2)]
87  ; var87 ; undefined
88  ; var88 ; undefined
89  ; var89 ; undefined
90  ; var90 ; undefined
91  ; FR_ICE ; ice cover (1=ice, 0=no ice) [1]
92  ;  var92  ; undefined
93  ;  var93  ; undefined
94  ;  var94  ; undefined
95  ;  var95  ; undefined
96  ;  var96  ; undefined
97  ;  var97  ; undefined
98  ;  var98  ; undefined
99  ;  var99  ; undefined
100  ; var100 ; undefined
101  ; var101 ; undefined
102  ; var102 ; undefined
103  ; var103 ; undefined
104  ; var104 ; undefined
105  ; var105 ; undefined
106  ; var106 ; undefined
107  ; var107 ; undefined
108  ; var108 ; undefined
109  ; var109 ; undefined
110  ; var110 ; undefined
111  ; ASOB_S ; net short-wave radiation (surface) [W/(m**2)]
112  ; ATHB_S ; net long-wave radiation (surface) [W/(m**2)]
113  ; ASOB_T ; net short-wave radiation (top of atmosphere) [W/(m**2)]
114  ; ATHB_T ; net long-wave radiation (top of atmosphere) [W/(m**2)]
115  ; var115 ; undefined
116  ; var116 ; undefined
117  ; var117 ; SURFGLOBAL.RAD 
118  ; var118 ; undefined
119  ; var119 ; undefined
120  ; var120 ; undefined
121  ; ALHFL_S ; latent heat flux [W/(m**2)]
122  ; ASHFL_S ; sensible heat flux [W/(m**2)]
123  ; var123 ; undefined
124  ; var124 ; SURFU-MOMENTUM
125  ; var125 ; SURFV-MOMENTUM
126  ; var126 ; undefined
127  ; var127 ; undefined
128  ; cape ; cape [J/kg]
129  ; mocon ; mocon [J/kg] 
130  ; wind-u gust; u-momentum of wind gust [m/s] 
131  ; wind-v gust; v-momentum of wind gust [m/s]
132  ; var132 ; Pnivni#001.SCALAR,  PnivniOZONE,  Sniv#001.SCALAR
133  ; cape2 ; Cape diagnosed from the most unstable layer [J/kg]
134  ; var134 ; undefined
135  ; var135 ; undefined
136  ; var136 ; undefined
137  ; var137 ; undefined
138  ; var138 ; undefined
139  ; var139 ; undefined
140  ; var140 ; undefined
141  ; TKE ; Turbulent Kinetic Energy (TKE) [???]
142  ; Aliwater ; Atmospheric liquid water [kg/kg] 
143  ; Asowater ; Atmospheric solid water [kg/kg]
144  ; graupel ; Atmospheric graupel = 0 - not yet available in model ALARO [kg/kg] 
145  ; atmsnow ; Atmospheric snow [kg/kg]
146  ; atmrain ; Atmospheric rain [kg/kg]
147  ; var147 ; undefined
148  ; var148 ; undefined
149  ; var149 ; undefined
150  ; var150 ; undefined
151  ; var151 ; SURFRF.LONG.UP
152  ; var152 ; SURFRF.SHORT.UP
153  ; var153 ; SURFRF.LONG.DO
154  ; var154 ; SURFRF.SHORT.DO
155  ; var155 ; SURFRF.LONG.UPc
156  ; var156 ; SURFRF.SHORT.UPc
157  ; var157 ; SURFRF.LONG.DOc
158  ; var158 ; SURFRF.SHORT.DOc
159  ; var159 ; SURF.RAYT.DIR
160  ; surfsnowden ; Surface snow density [kg/m^3]
161  ; SURFRESERV.GLACE ;    Frozen superficial soil wetness [???]
162  ; CLSRAFAL.MOD.XFU ;   Wind gusts module [m/s]
163  ; SURFPROP.SABLE   ;   Percentage of sand within soil [fraction]
164  ; SURFIND.FOLIAIRE ;   Leaf area index 
165  ; SURFIND.VEG.DOMI ;   Land use type (1=sea, 2=ice cap, 3=low vegetation or desert, 4=high vegetation)
166  ; SURFPROP.ARGILE  ;   Percentage of clay within soil [fraction]
167  ; var167 ; undefined
168  ; var168 ; undefined
169  ; var169 ; undefined
170  ; var170 ; undefined
171  ; SURFNEBUL.TOTALE ; Total cloud cover [fraction]
172  ; var172 ; undefined
173  ; SURFNEBUL.BASSE ; Low level cloud layer [fraction] 
174  ; SURFNEBUL.MOYENN ; Medium level cloud layer [fraction] 
175  ; SURFNEBUL.HAUTE ; High level cloud layer [fraction] 
176  ; SPECSURFGEOPOTEN ; Surface Geopotential (model orography times g) [m^2/s^2]
177  ; var177 ; undefined
178  ; SURFSNOWFALLLINE ; Snowfall line [m] (according to Steinacker (Tw=1C, T=3C))
179  ; var179 ; undefined
180  ; var180 ; undefined
181  ; SURFPROP.TERRE ; Percentage of land [fraction]
182  ; var182 ; undefined
183  ; SURFZ0.FOIS.G ; Surface roughness times g
184  ; SURFALBEDO ; Albedo
185  ; SURFZ0REL.FOIS.G ; Roughness length of bare surface times g
186  ; var186 ; undefined
187  ; SURFPROP.VEGETAT ; Percentage of vegetation [fraction]
188  ; var188 ; undefined
189  ; var189 ; undefined
190  ; var190 ; undefined
191  ; var191 ; undefined
192  ; var192 ; undefined
193  ; var193 ; undefined
194  ; var194 ; undefined
195  ; var195 ; undefined
196  ; var196 ; undefined
197  ; var197 ; undefined
198  ; var198 ; undefined
199  ; var199 ; undefined
200  ; SURFEMISSIVITE ; Emissivity
201  ; SURFPROP.RMAX.EA ; Clim. deep soil max. prop. moisture,PROFPROP.RMAX.EA SURFPROP.RMAX.EA
202  ; SURFPREC.EAU.CON ; Accumulated convective precipitation [kg/m^2]
203  ; SURFPREC.EAU.GEC ; Accumulated large scale precipitation [kg/m^2]  
204  ; SURFPREC.NEI.CON ; Accumulated convective snow fall [kg/m^2]
205  ; SURFPREC.NEI.GEC ; Accumulated large scale snow fall [kg/m^2]
206  ; SURFFLU.MEVAP.EA ; Accumulated Water evaporaton [kg/m^2]
207  ; SURFFLU.MSUBL.NE ; Accumulated Snow sublimation [kg/m^2]
208  ; SURFFLU.LAT.MEVA ; Accumulated Latent heat evaporation 
209  ; SURFFLU.LAT.MSUB ; Accumulated Latent heat sublimation 
210  ; SURFTENS.TURB.ZO ; Accumulated U-momentum of Turbulence stress
211  ; SURFTENS.TURB.ME ; Accumulated V-momentum of Turbulence stress
212  ; SURFTENS.DMOG.ZO ; Accumulated U-momentum of Gravity-wave Drag stress
213  ; SURFTENS.DMOG.ME ; Accumulated V-momentum of Gravity-wave Drag stress
214  ; SURFFLU.HUMI.NEG ; Accumulated negative humidity compensation flux
215  ; SURFVAR.GEOP.ANI ; Anisotropy coeff. of topography
216  ; SURFVAR.GEOP.DIR ; Direction of main axis of topography 
217  ; SURFET.GEOPOTENT ; Std. deviation of orography times g
218  ; SURFLONGITUDE.GE ; SURFLONGITUDE.GE
219  ; SURFLATITUDE.GEO ; SURFLATITUDE.GEO 
220  ; SURFSEA.SURF.TEM ; Sea surface temperature [K]
221  ; var221 ; undefined
222  ; var222 ; undefined
223  ; var223 ; undefined
224  ; var224 ; undefined
225  ; var225 ; undefined
226  ; var226 ; undefined
227  ; var227 ; undefined
228  ; var228 ; undefined
229  ; var229 ; undefined
230  ; var230 ; undefined
231  ; var231 ; undefined
232  ; var232 ; undefined
233  ; var233 ; undefined
234  ; var234 ; undefined
235  ; var235 ; undefined
236  ; var236 ; undefined
237  ; var237 ; undefined
238  ; var238 ; undefined
239  ; var239 ; undefined
240  ; var240 ; undefined
241  ; var241 ; undefined
242  ; var242 ; undefined
243  ; var243 ; undefined
244  ; var244 ; undefined
245  ; var245 ; undefined
246  ; var246 ; undefined
247  ; var247 ; undefined
248  ; var248 ; undefined
249  ; var249 ; undefined
250  ; var250 ; undefined
251  ; var251 ; undefined
252  ; var252 ; undefined 
253  ; var253 ; undefined
254  ; var254 ; undefined
255  ; PROFRMAX.EAU  ;  PROFRMAX.EAU

